t,separation_m
28.202,3.3606
28.214,3.3606
28.221,3.3660
28.234,3.3660
28.241,3.3714
28.253,3.3714
28.261,3.3769
28.273,3.3769
28.279,3.3825
28.293,3.3825
28.301,3.3880
28.314,3.3880
28.320,3.3936
28.333,3.3936
28.341,3.3992
28.353,3.3992
28.360,3.4049
28.374,3.4049
28.381,3.4106
28.394,3.4106
28.400,3.4163
28.413,3.4163
28.420,3.4221
28.434,3.4221
28.441,3.4279
28.454,3.4279
28.460,3.4337
28.473,3.4337
28.481,3.4395
28.493,3.4395
28.500,3.4454
28.513,3.4454
28.521,3.4513
28.533,3.4513
28.540,3.4573
28.553,3.4573
28.560,3.4633
28.574,3.4633
28.580,3.4693
28.593,3.4693
28.601,3.4753
28.614,3.4753
28.621,3.4814
28.646,3.4814
28.647,3.4875
28.653,3.4875
28.660,3.4936
28.673,3.4936
28.680,3.4998
28.693,3.4998
28.701,3.5060
28.714,3.5060
28.720,3.5122
28.733,3.5122
28.740,3.5185
28.753,3.5185
28.762,3.5248
28.774,3.5248
28.781,3.5311
28.793,3.5311
28.799,3.5374
28.815,3.5374
28.820,3.5438
28.833,3.5438
28.840,3.5502
28.854,3.5502
28.860,3.5566
28.873,3.5566
28.880,3.5631
28.894,3.5631
28.902,3.5696
28.913,3.5696
28.921,3.5761
28.934,3.5761
28.940,3.5826
28.953,3.5826
28.961,3.5892
28.973,3.5892
28.982,3.5958
28.994,3.5958
29.000,3.6024
29.015,3.6024
29.020,3.6090
29.032,3.6090
29.040,3.6157
29.053,3.6157
29.060,3.6224
29.073,3.6224
29.080,3.6292
29.094,3.6292
29.100,3.6359
29.134,3.6359
29.134,3.6427
29.134,3.6427
29.141,3.6495
29.152,3.6495
29.160,3.6563
29.173,3.6563
29.180,3.6632
29.194,3.6632
29.200,3.6701
29.214,3.6701
29.221,3.6770
29.233,3.6770
29.240,3.6840
29.253,3.6840
29.260,3.6909
29.273,3.6909
29.281,3.6979
29.294,3.6979
29.300,3.7049
29.313,3.7049
29.321,3.7120
29.333,3.7120
29.341,3.7190
29.353,3.7190
29.361,3.7261
29.374,3.7261
29.383,3.7333
29.393,3.7333
29.401,3.7404
29.413,3.7404
29.420,3.7476
29.434,3.7476
29.441,3.7548
29.453,3.7548
29.460,3.7620
29.475,3.7620
29.480,3.7692
29.494,3.7692
29.500,3.7765
29.514,3.7765
29.520,3.7838
29.552,3.7838
29.552,3.7911
29.554,3.7911
29.560,3.7984
29.573,3.7984
29.580,3.8057
29.593,3.8057
29.600,3.8131
29.614,3.8131
29.621,3.8205
29.633,3.8205
29.640,3.8279
29.653,3.8279
29.660,3.8354
29.673,3.8354
29.678,3.8428
29.693,3.8428
29.701,3.8503
29.719,3.8503
29.721,3.8578
29.734,3.8578
29.741,3.8653
29.754,3.8653
29.760,3.8728
29.774,3.8728
29.779,3.8803
29.793,3.8803
29.800,3.8879
29.814,3.8879
29.820,3.8955
29.833,3.8955
29.841,3.9031
29.852,3.9031
29.860,3.9107
29.871,3.9107
29.881,3.9183
29.893,3.9183
29.900,3.9260
29.913,3.9260
29.921,3.9337
29.933,3.9337
29.941,3.9414
29.953,3.9414
29.960,3.9491
29.975,3.9491
29.980,3.9568
30.001,3.9568
30.002,3.9646
30.014,3.9646
30.020,3.9723
30.033,3.9723
30.039,3.9801
30.054,3.9801
30.059,3.9879
30.073,3.9879
30.081,3.9958
30.094,3.9958
30.100,4.0036
30.114,4.0036
30.121,4.0115
30.169,4.0115
30.169,4.0194
30.170,4.0194
30.170,4.0273
30.174,4.0273
30.181,4.0353
30.193,4.0353
30.200,4.0433
30.213,4.0432
30.220,4.0512
30.234,4.0512
30.240,4.0592
30.254,4.0592
30.260,4.0673
30.273,4.0673
30.280,4.0753
30.293,4.0753
30.301,4.0834
30.313,4.0834
30.320,4.0915
30.333,4.0915
30.341,4.0996
30.353,4.0996
30.360,4.1077
30.374,4.1077
30.380,4.1158
30.393,4.1158
30.400,4.1240
30.413,4.1240
30.420,4.1322
30.433,4.1322
30.441,4.1404
30.466,4.1404
30.467,4.1486
30.473,4.1486
30.481,4.1569
30.493,4.1569
30.500,4.1651
30.512,4.1651
30.521,4.1734
30.533,4.1734
30.542,4.1817
30.553,4.1817
30.560,4.1900
30.573,4.1900
30.579,4.1984
30.618,4.1983
30.618,4.2067
30.618,4.2067
30.621,4.2151
30.633,4.2151
30.641,4.2235
30.653,4.2235
30.660,4.2319
30.675,4.2319
30.680,4.2403
30.694,4.2403
30.700,4.2487
30.714,4.2487
30.721,4.2571
30.734,4.2571
30.742,4.2656
30.753,4.2656
30.761,4.2740
30.773,4.2740
30.781,4.2825
30.794,4.2825
30.801,4.2910
30.813,4.2910
30.821,4.2995
30.833,4.2995
30.841,4.3080
30.854,4.3080
30.860,4.3165
30.873,4.3165
30.898,4.3251
30.898,4.3251
30.899,4.3336
30.913,4.3336
30.921,4.3422
30.934,4.3422
30.942,4.3508
30.954,4.3508
30.960,4.3593
30.974,4.3593
30.980,4.3679
30.993,4.3679
31.002,4.3766
31.014,4.3765
31.020,4.3852
31.034,4.3852
31.039,4.3938
31.085,4.3938
31.085,4.4025
31.086,4.4025
31.086,4.4111
31.093,4.4111
31.102,4.4198
31.115,4.4198
31.120,4.4285
31.133,4.4285
31.141,4.4372
31.153,4.4372
31.161,4.4460
31.173,4.4460
31.181,4.4547
31.194,4.4547
31.201,4.4634
31.213,4.4634
31.220,4.4722
31.233,4.4722
31.241,4.4810
31.255,4.4810
31.261,4.4898
31.273,4.4898
31.281,4.4986
31.293,4.4986
31.300,4.5074
31.313,4.5074
31.320,4.5162
31.333,4.5162
31.340,4.5251
31.362,4.5251
31.362,4.5339
31.373,4.5339
31.380,4.5428
31.393,4.5428
31.400,4.5517
31.413,4.5517
31.421,4.5606
31.432,4.5606
31.441,4.5695
31.453,4.5695
31.461,4.5784
31.473,4.5784
31.518,4.5873
31.520,4.5873
31.520,4.5963
31.522,4.5963
31.522,4.6053
31.532,4.6053
31.540,4.6142
