robot,status,dispatched_s,finished_s,duration_s,driven_m,final_error_m,replans,goal_x,goal_y
amr1,SUCCEEDED,24.646,62.575,37.929,10.644,0.02415063432091434,2,-1.000,-1.500
amr2,SUCCEEDED,29.7,49.964,20.264,11.983,0.1821708489643776,1,-1.000,1.500
