t,separation_m
33.043,3.2964
33.057,3.2914
33.062,3.2997
33.078,3.2947
33.081,3.3030
33.097,3.2980
33.101,3.3064
33.117,3.3013
33.122,3.3097
33.137,3.3047
33.141,3.3131
33.157,3.3081
33.161,3.3165
33.177,3.3114
33.181,3.3200
33.197,3.3148
33.201,3.3234
33.218,3.3182
33.221,3.3268
33.238,3.3217
33.241,3.3303
33.257,3.3251
33.261,3.3338
33.277,3.3286
33.281,3.3373
33.298,3.3320
33.300,3.3408
33.317,3.3355
33.323,3.3443
33.359,3.3390
33.360,3.3479
33.360,3.3426
33.361,3.3514
33.406,3.3461
33.406,3.3550
33.409,3.3496
33.409,3.3586
33.417,3.3532
33.422,3.3622
33.437,3.3568
33.441,3.3658
33.457,3.3604
33.461,3.3694
33.477,3.3640
33.482,3.3731
33.498,3.3676
33.501,3.3768
33.517,3.3713
33.523,3.3804
33.538,3.3749
33.541,3.3841
33.558,3.3786
33.561,3.3878
33.578,3.3823
33.582,3.3916
33.597,3.3860
33.602,3.3953
33.617,3.3897
33.620,3.3991
33.638,3.3934
33.641,3.4028
33.657,3.3972
33.661,3.4066
33.677,3.4009
33.682,3.4104
33.697,3.4047
33.703,3.4142
33.717,3.4085
33.721,3.4180
33.737,3.4123
33.741,3.4219
33.757,3.4161
33.762,3.4257
33.777,3.4200
33.781,3.4296
33.798,3.4238
33.801,3.4335
33.817,3.4277
33.821,3.4374
33.837,3.4316
33.841,3.4413
33.857,3.4354
33.861,3.4452
33.878,3.4393
33.882,3.4492
33.898,3.4433
33.902,3.4531
33.917,3.4472
33.922,3.4571
33.937,3.4511
33.941,3.4611
33.957,3.4551
33.962,3.4651
33.977,3.4591
33.982,3.4691
33.997,3.4631
34.002,3.4731
34.017,3.4671
34.021,3.4771
34.037,3.4711
34.043,3.4812
34.057,3.4751
34.061,3.4853
34.078,3.4792
34.082,3.4893
34.098,3.4832
34.101,3.4934
34.117,3.4873
34.121,3.4975
34.138,3.4914
34.141,3.5017
34.158,3.4955
34.161,3.5058
34.177,3.4996
34.181,3.5100
34.195,3.5037
34.201,3.5141
