x,y
-4.5312,0.7702
-4.5063,0.7725
-4.4814,0.7747
-4.4565,0.7770
-4.4316,0.7792
-4.4067,0.7815
-4.3818,0.7839
-4.3570,0.7865
-4.3321,0.7889
-4.3072,0.7918
-4.2825,0.7950
-4.2583,0.8016
-4.2340,0.8073
-4.2096,0.8126
-4.1850,0.8175
-4.1605,0.8222
-4.1358,0.8262
-4.1112,0.8306
-4.0865,0.8347
-4.0620,0.8394
-4.0375,0.8446
-4.0139,0.8528
-3.9902,0.8608
-3.9665,0.8686
-3.9427,0.8763
-3.9189,0.8838
-3.8950,0.8912
-3.8710,0.8984
-3.8469,0.9049
-3.8226,0.9110
-3.7983,0.9168
-3.7739,0.9223
-3.7495,0.9277
-3.7251,0.9329
-3.7006,0.9379
-3.6761,0.9429
-3.6516,0.9478
-3.6267,0.9503
-3.6018,0.9526
-3.5769,0.9547
-3.5520,0.9567
-3.5270,0.9585
-3.5021,0.9601
-3.4771,0.9617
-3.4522,0.9631
-3.4272,0.9644
-3.4022,0.9656
-3.3773,0.9667
-3.3523,0.9677
-3.3273,0.9686
-3.3023,0.9693
-3.2773,0.9694
-3.2523,0.9698
-3.2273,0.9710
-3.2024,0.9723
-3.1774,0.9740
-3.1525,0.9758
-3.1276,0.9780
-3.1027,0.9803
-3.0778,0.9829
-3.0530,0.9858
-3.0282,0.9890
-3.0034,0.9925
-2.9788,0.9964
-2.9558,1.0062
-2.9328,1.0161
-2.9099,1.0260
-2.8870,1.0361
-2.8640,1.0460
-2.8421,1.0579
-2.8198,1.0693
-2.7984,1.0822
-2.7762,1.0938
-2.7540,1.1053
-2.7329,1.1186
-2.7112,1.1310
-2.6898,1.1440
-2.6695,1.1585
-2.6494,1.1734
-2.6279,1.1863
-2.6056,1.1975
-2.5810,1.2018
-2.5563,1.2059
-2.5315,1.2091
-2.5068,1.2128
-2.4822,1.2171
-2.4576,1.2217
-2.4331,1.2266
-2.4086,1.2316
-2.3841,1.2367
-2.3597,1.2420
-2.3352,1.2473
-2.3105,1.2509
-2.2857,1.2542
-2.2609,1.2574
-2.2361,1.2604
-2.2113,1.2633
-2.1864,1.2661
-2.1616,1.2688
-2.1367,1.2707
-2.1118,1.2732
-2.0870,1.2763
-2.0622,1.2797
-2.0375,1.2836
-2.0129,1.2878
-1.9882,1.2920
-1.9636,1.2966
-1.9392,1.3019
-1.9149,1.3075
-1.8905,1.3131
-1.8662,1.3188
-1.8419,1.3247
-1.8176,1.3307
-1.7934,1.3368
-1.7691,1.3430
-1.7449,1.3492
-1.7201,1.3520
-1.6952,1.3543
-1.6703,1.3564
-1.6453,1.3580
-1.6204,1.3594
-1.5954,1.3604
-1.5704,1.3613
-1.5454,1.3605
-1.5204,1.3600
-1.4954,1.3601
-1.4704,1.3604
-1.4454,1.3618
-1.4205,1.3631
-1.3955,1.3642
-1.3705,1.3652
-1.3455,1.3659
-1.3205,1.3666
-1.2955,1.3671
-1.2705,1.3675
-1.2455,1.3677
-1.2205,1.3678
-1.1955,1.3677
-1.1706,1.3675
-1.1456,1.3671
-1.1206,1.3665
-1.0956,1.3656
-1.0706,1.3646
-1.0460,1.3600
-1.0213,1.3566
-0.9963,1.3583
-0.9714,1.3600
-0.9464,1.3614
-0.9215,1.3628
-0.8965,1.3639
-0.8715,1.3649
-0.8466,1.3628
-0.8216,1.3618
-0.7969,1.3658
-0.7722,1.3697
-0.7475,1.3734
-0.7228,1.3772
-0.6980,1.3803
-0.6733,1.3840
-0.6490,1.3899
-0.6245,1.3950
-0.6000,1.4000
-0.5500,1.4500
-0.5000,1.5000
