robot,status,dispatched_s,finished_s,duration_s,driven_m,final_error_m,replans,goal_x,goal_y
amr1,SUCCEEDED,29.413,47.366,17.953,8.300,0.11787937844500306,3,-4.000,1.500
amr2,SUCCEEDED,29.413,38.43,9.017,7.548,0.08746860649427012,0,-4.000,-1.500
