x,y
-4.7542,0.2626
-4.7301,0.2694
-4.7061,0.2761
-4.6820,0.2829
-4.6579,0.2897
-4.6339,0.2964
-4.6098,0.3032
-4.5857,0.3099
-4.5616,0.3167
-4.5376,0.3235
-4.5135,0.3302
-4.4894,0.3370
-4.4654,0.3438
-4.4413,0.3505
-4.4173,0.3573
-4.3932,0.3641
-4.3691,0.3709
-4.3451,0.3777
-4.3210,0.3844
-4.2969,0.3912
-4.2729,0.3980
-4.2488,0.4048
-4.2248,0.4116
-4.2007,0.4184
-4.1766,0.4252
-4.1526,0.4320
-4.1285,0.4388
-4.1045,0.4456
-4.0804,0.4523
-4.0563,0.4591
-4.0323,0.4659
-4.0082,0.4728
-3.9842,0.4796
-3.9601,0.4864
-3.9361,0.4932
-3.9120,0.5000
-3.8880,0.5068
-3.8639,0.5136
-3.8398,0.5204
-3.8158,0.5272
-3.7917,0.5341
-3.7677,0.5409
-3.7436,0.5477
-3.7196,0.5545
-3.6955,0.5614
-3.6715,0.5682
-3.6474,0.5750
-3.6234,0.5818
-3.5993,0.5887
-3.5753,0.5955
-3.5512,0.6023
-3.5272,0.6092
-3.5032,0.6160
-3.4791,0.6228
-3.4551,0.6297
-3.4310,0.6365
-3.4070,0.6434
-3.3829,0.6502
-3.3589,0.6571
-3.3348,0.6639
-3.3108,0.6708
-3.2867,0.6776
-3.2627,0.6845
-3.2387,0.6913
-3.2146,0.6982
-3.1906,0.7050
-3.1665,0.7119
-3.1425,0.7187
-3.1185,0.7256
-3.0944,0.7325
-3.0704,0.7393
-3.0463,0.7462
-3.0223,0.7531
-2.9983,0.7599
-2.9742,0.7668
-2.9502,0.7737
-2.9262,0.7805
-2.9021,0.7874
-2.8781,0.7943
-2.8540,0.8012
-2.8300,0.8080
-2.8060,0.8149
-2.7819,0.8218
-2.7579,0.8287
-2.7339,0.8355
-2.7098,0.8424
-2.6858,0.8493
-2.6618,0.8562
-2.6377,0.8631
-2.6137,0.8700
-2.5897,0.8769
-2.5656,0.8838
-2.5416,0.8906
-2.5176,0.8975
-2.4935,0.9044
-2.4695,0.9113
-2.4455,0.9182
-2.4215,0.9251
-2.3974,0.9320
-2.3734,0.9389
-2.3494,0.9458
-2.3253,0.9527
-2.3013,0.9596
-2.2773,0.9665
-2.2533,0.9735
-2.2292,0.9804
-2.2052,0.9873
-2.1812,0.9942
-2.1572,1.0011
-2.1331,1.0080
-2.1091,1.0149
-2.0851,1.0218
-2.0611,1.0288
-2.0370,1.0357
-2.0130,1.0426
-1.9890,1.0495
-1.9650,1.0564
-1.9409,1.0634
-1.9169,1.0703
-1.8929,1.0772
-1.8689,1.0841
-1.8449,1.0911
-1.8208,1.0980
-1.7968,1.1049
-1.7728,1.1118
-1.7488,1.1188
-1.7248,1.1257
-1.7007,1.1326
-1.6767,1.1396
-1.6527,1.1465
-1.6287,1.1535
-1.6047,1.1604
-1.5806,1.1673
-1.5566,1.1743
-1.5326,1.1812
-1.5086,1.1882
-1.4846,1.1951
-1.4606,1.2021
-1.4365,1.2090
-1.4125,1.2159
-1.3885,1.2229
-1.3645,1.2298
-1.3405,1.2368
-1.3165,1.2437
-1.2925,1.2507
-1.2684,1.2577
-1.2444,1.2646
-1.2204,1.2716
-1.1964,1.2785
-1.1724,1.2855
-1.1484,1.2924
-1.1244,1.2994
-1.1004,1.3064
-1.0764,1.3133
-1.0523,1.3203
-1.0283,1.3273
-1.0043,1.3342
-0.9803,1.3412
-0.9563,1.3482
-0.9323,1.3551
-0.9083,1.3621
-0.8843,1.3691
-0.8603,1.3760
-0.8363,1.3830
-0.8123,1.3900
-0.7882,1.3970
-0.7642,1.4039
-0.7402,1.4109
-0.7162,1.4179
-0.6922,1.4249
-0.6682,1.4319
-0.6442,1.4388
-0.6202,1.4458
-0.5962,1.4528
-0.5722,1.4598
-0.5482,1.4667
-0.5000,1.5000
