halt,clearance_m,speed_mps,d_safe_m,held_s,latency_ms,recoveries_during,allowance_entry_s,allowance_exit_s
1,0.8711,0.6000,0.9750,0.702,5.00,0,10.0,10.0
2,0.0233,0.0690,0.3089,0.301,7.00,0,10.0,10.0
3,0.4178,0.3636,0.5479,0.603,9.00,0,10.0,10.0
4,0.0118,0.0662,0.3082,0.301,6.00,0,10.0,10.0
