t,separation_m
28.182,3.2289
28.193,3.2363
28.204,3.2318
28.240,3.2393
28.262,3.2348
28.262,3.2423
28.264,3.2378
28.264,3.2454
28.264,3.2408
28.273,3.2484
28.283,3.2439
28.293,3.2515
28.306,3.2469
28.312,3.2546
28.323,3.2500
28.333,3.2577
28.343,3.2531
28.351,3.2609
28.363,3.2562
28.373,3.2640
28.383,3.2593
28.392,3.2672
28.405,3.2624
28.413,3.2703
28.423,3.2656
28.433,3.2735
28.444,3.2687
28.453,3.2767
28.463,3.2719
28.473,3.2800
28.483,3.2751
28.492,3.2832
28.503,3.2783
28.513,3.2865
28.523,3.2816
28.534,3.2897
28.544,3.2848
28.555,3.2930
28.563,3.2881
28.572,3.2963
28.584,3.2914
28.593,3.2997
28.604,3.2947
28.612,3.3030
28.622,3.2980
28.632,3.3063
28.643,3.3013
28.652,3.3097
28.663,3.3047
28.672,3.3131
28.682,3.3080
28.692,3.3165
28.703,3.3114
28.712,3.3199
28.746,3.3148
28.769,3.3234
28.770,3.3182
28.770,3.3268
28.771,3.3216
28.773,3.3303
28.784,3.3251
28.795,3.3338
28.803,3.3285
28.811,3.3373
28.822,3.3320
28.832,3.3408
28.844,3.3355
28.852,3.3443
28.863,3.3390
28.873,3.3478
28.884,3.3425
28.894,3.3514
28.905,3.3461
28.911,3.3550
28.923,3.3496
28.932,3.3586
28.944,3.3532
28.950,3.3622
28.963,3.3568
28.972,3.3658
28.984,3.3604
28.992,3.3694
29.003,3.3640
29.012,3.3731
29.023,3.3676
29.032,3.3767
29.044,3.3712
29.052,3.3804
29.064,3.3749
29.073,3.3841
29.083,3.3786
29.092,3.3878
29.104,3.3823
29.112,3.3915
29.124,3.3860
29.132,3.3953
29.143,3.3897
29.152,3.3990
29.162,3.3934
29.175,3.4028
29.183,3.3972
29.192,3.4066
29.203,3.4009
29.212,3.4104
29.223,3.4047
29.249,3.4142
29.249,3.4085
29.269,3.4180
29.272,3.4123
29.273,3.4219
29.282,3.4161
29.292,3.4257
29.303,3.4199
29.313,3.4296
29.323,3.4238
29.332,3.4335
29.344,3.4276
29.352,3.4374
29.364,3.4315
29.372,3.4413
29.384,3.4354
29.391,3.4452
29.404,3.4393
29.413,3.4491
29.423,3.4432
29.432,3.4531
29.443,3.4472
29.452,3.4571
29.463,3.4511
29.473,3.4611
29.483,3.4551
29.493,3.4650
29.504,3.4591
29.514,3.4691
29.523,3.4630
29.535,3.4731
29.544,3.4671
29.551,3.4771
29.563,3.4711
29.573,3.4812
29.581,3.4751
29.591,3.4852
29.603,3.4791
29.613,3.4893
29.624,3.4832
29.632,3.4934
29.643,3.4873
29.652,3.4975
29.663,3.4914
29.672,3.5016
29.683,3.4955
29.692,3.5058
29.705,3.4996
29.712,3.5099
29.723,3.5037
29.733,3.5141
29.741,3.5079
29.778,3.5183
29.794,3.5120
29.794,3.5225
29.795,3.5162
29.795,3.5267
29.803,3.5204
29.813,3.5310
29.823,3.5246
29.833,3.5352
29.843,3.5289
29.852,3.5395
29.864,3.5331
29.873,3.5438
29.884,3.5374
29.892,3.5481
29.905,3.5417
29.913,3.5524
29.923,3.5460
29.933,3.5567
29.943,3.5503
29.953,3.5610
29.964,3.5546
29.972,3.5654
29.983,3.5589
29.992,3.5698
30.005,3.5633
30.012,3.5742
30.023,3.5677
30.032,3.5786
30.043,3.5720
30.053,3.5830
30.064,3.5764
30.072,3.5874
30.085,3.5808
30.091,3.5919
30.103,3.5853
30.112,3.5963
30.123,3.5897
30.133,3.6008
30.143,3.5942
30.153,3.6053
30.163,3.5986
30.172,3.6098
30.184,3.6031
30.193,3.6143
30.205,3.6076
30.214,3.6188
30.224,3.6121
30.233,3.6233
30.244,3.6166
30.253,3.6279
30.263,3.6212
30.272,3.6324
30.284,3.6257
30.309,3.6370
30.323,3.6303
30.323,3.6416
30.323,3.6348
30.333,3.6462
30.343,3.6394
30.353,3.6508
30.363,3.6440
30.372,3.6555
30.382,3.6486
30.392,3.6601
30.402,3.6532
30.413,3.6647
30.424,3.6579
30.432,3.6694
30.444,3.6625
30.451,3.6741
30.462,3.6672
30.472,3.6788
30.483,3.6719
30.491,3.6835
30.505,3.6765
30.513,3.6882
30.524,3.6812
30.533,3.6929
30.545,3.6859
30.553,3.6976
30.565,3.6906
30.572,3.7024
30.583,3.6954
30.592,3.7071
30.603,3.7001
30.612,3.7119
30.623,3.7049
30.632,3.7167
30.644,3.7096
30.653,3.7215
30.663,3.7144
30.673,3.7263
30.684,3.7192
30.694,3.7311
30.704,3.7240
30.712,3.7359
30.724,3.7288
30.731,3.7407
30.743,3.7336
30.753,3.7456
30.763,3.7384
30.772,3.7504
30.783,3.7433
30.791,3.7553
30.804,3.7481
30.837,3.7602
30.850,3.7530
30.850,3.7651
30.851,3.7579
30.853,3.7700
30.863,3.7627
30.872,3.7749
30.883,3.7676
30.893,3.7798
30.903,3.7725
30.912,3.7847
30.923,3.7774
30.933,3.7897
30.943,3.7824
30.952,3.7946
30.963,3.7873
30.972,3.7996
30.983,3.7923
30.992,3.8046
31.004,3.7972
31.012,3.8095
31.024,3.8022
31.032,3.8145
31.044,3.8071
31.052,3.8195
31.065,3.8121
31.073,3.8245
31.083,3.8171
31.093,3.8296
31.104,3.8221
31.112,3.8346
31.124,3.8271
31.132,3.8396
31.144,3.8322
31.152,3.8447
31.163,3.8372
31.173,3.8497
31.186,3.8422
31.192,3.8548
31.202,3.8473
31.212,3.8599
31.223,3.8524
31.232,3.8650
31.244,3.8574
31.252,3.8701
31.263,3.8625
31.273,3.8752
31.284,3.8676
31.291,3.8803
31.304,3.8727
31.312,3.8854
31.324,3.8778
31.342,3.8906
31.343,3.8829
31.353,3.8957
31.364,3.8881
31.373,3.9009
31.384,3.8932
31.392,3.9060
31.403,3.8984
31.412,3.9112
31.424,3.9035
31.432,3.9164
31.443,3.9087
31.451,3.9216
31.463,3.9139
31.473,3.9268
31.483,3.9191
31.493,3.9320
31.504,3.9243
31.513,3.9372
31.523,3.9295
31.533,3.9424
31.543,3.9347
31.553,3.9477
31.564,3.9399
31.572,3.9529
31.583,3.9451
31.592,3.9582
31.604,3.9504
31.611,3.9634
31.623,3.9556
31.632,3.9687
31.644,3.9609
31.652,3.9740
31.663,3.9661
31.672,3.9793
31.683,3.9714
31.692,3.9846
31.704,3.9767
31.711,3.9899
31.723,3.9820
31.732,3.9952
31.743,3.9873
31.752,4.0005
31.763,3.9926
31.769,4.0058
31.783,3.9979
31.792,4.0111
31.803,4.0032
31.812,4.0164
31.823,4.0085
31.833,4.0218
31.865,4.0138
31.879,4.0271
31.879,4.0192
31.880,4.0325
31.883,4.0245
31.893,4.0378
31.903,4.0298
31.917,4.0432
31.925,4.0352
31.933,4.0486
31.947,4.0405
31.953,4.0539
31.964,4.0459
31.976,4.0593
31.983,4.0513
31.992,4.0647
32.003,4.0566
32.012,4.0701
32.025,4.0620
32.033,4.0755
32.043,4.0674
32.053,4.0809
32.065,4.0728
32.072,4.0863
32.083,4.0782
32.092,4.0917
32.102,4.0836
32.112,4.0972
32.124,4.0890
32.135,4.1026
32.143,4.0944
32.152,4.1080
32.163,4.0999
32.172,4.1135
32.183,4.1053
32.192,4.1189
32.203,4.1107
32.215,4.1244
32.224,4.1162
32.236,4.1298
32.244,4.1216
32.253,4.1353
32.261,4.1271
32.273,4.1407
32.283,4.1325
32.291,4.1462
32.303,4.1379
32.312,4.1516
32.323,4.1434
32.333,4.1571
32.344,4.1488
32.352,4.1625
32.363,4.1543
32.372,4.1680
32.386,4.1597
32.408,4.1735
32.409,4.1651
32.412,4.1789
32.424,4.1706
32.432,4.1844
32.444,4.1760
32.452,4.1898
32.463,4.1815
32.472,4.1953
32.480,4.1869
32.492,4.2008
32.502,4.1924
32.513,4.2063
32.523,4.1979
32.533,4.2117
32.543,4.2033
32.552,4.2172
32.563,4.2088
32.572,4.2227
32.583,4.2143
32.591,4.2282
32.604,4.2198
32.613,4.2337
32.623,4.2253
32.632,4.2392
32.644,4.2308
32.652,4.2447
32.663,4.2363
32.671,4.2503
32.684,4.2418
32.693,4.2558
32.703,4.2473
32.713,4.2614
32.723,4.2528
32.732,4.2669
32.743,4.2584
32.754,4.2725
32.763,4.2640
32.772,4.2781
32.783,4.2695
32.793,4.2837
32.804,4.2751
32.814,4.2893
32.824,4.2807
32.832,4.2949
32.844,4.2863
32.852,4.3005
32.863,4.2920
32.872,4.3062
32.896,4.2976
32.902,4.3118
32.903,4.3032
32.914,4.3175
32.923,4.3089
32.932,4.3232
32.943,4.3146
32.952,4.3289
32.963,4.3203
32.972,4.3346
32.984,4.3260
32.992,4.3404
33.004,4.3317
33.013,4.3461
33.024,4.3375
33.033,4.3519
33.043,4.3432
33.053,4.3577
33.063,4.3490
33.073,4.3634
33.083,4.3547
33.092,4.3692
33.104,4.3605
33.112,4.3750
33.124,4.3663
33.132,4.3809
33.144,4.3721
33.153,4.3867
33.163,4.3780
33.172,4.3925
33.184,4.3838
33.192,4.3984
33.204,4.3896
33.212,4.4042
33.225,4.3955
33.233,4.4101
33.244,4.4013
33.252,4.4160
33.264,4.4072
33.272,4.4218
33.285,4.4130
33.293,4.4277
33.303,4.4189
33.313,4.4336
33.324,4.4247
33.333,4.4394
33.345,4.4306
33.354,4.4453
33.363,4.4365
33.374,4.4512
33.382,4.4423
33.401,4.4571
33.405,4.4482
33.412,4.4630
33.423,4.4541
33.433,4.4688
33.443,4.4600
33.453,4.4747
33.463,4.4659
33.472,4.4806
33.484,4.4718
33.492,4.4865
33.505,4.4776
33.512,4.4924
33.523,4.4835
33.532,4.4984
33.543,4.4894
33.553,4.5043
33.563,4.4954
33.573,4.5102
33.583,4.5013
33.592,4.5161
33.604,4.5072
33.611,4.5221
33.623,4.5131
33.632,4.5280
33.643,4.5190
33.652,4.5339
33.663,4.5250
33.674,4.5399
33.683,4.5309
33.693,4.5459
33.704,4.5369
33.713,4.5518
33.723,4.5428
33.732,4.5578
33.745,4.5488
33.752,4.5638
33.763,4.5547
33.772,4.5697
33.784,4.5607
33.793,4.5757
33.802,4.5667
33.812,4.5817
33.823,4.5727
33.832,4.5877
33.844,4.5787
33.851,4.5937
33.864,4.5847
33.872,4.5997
33.902,4.5907
33.908,4.6058
33.908,4.5967
33.912,4.6118
33.924,4.6027
33.931,4.6178
33.943,4.6087
33.951,4.6239
33.963,4.6148
33.973,4.6299
33.983,4.6208
33.992,4.6360
34.003,4.6268
34.013,4.6420
34.023,4.6329
34.032,4.6481
34.044,4.6389
34.054,4.6542
34.064,4.6450
34.073,4.6602
34.083,4.6511
34.092,4.6663
34.104,4.6572
34.112,4.6724
34.123,4.6633
34.134,4.6785
34.143,4.6693
34.153,4.6846
34.163,4.6754
34.172,4.6907
34.183,4.6816
34.192,4.6969
34.203,4.6877
34.212,4.7030
34.223,4.6938
34.233,4.7092
34.244,4.6999
34.252,4.7153
34.263,4.7061
34.272,4.7215
34.283,4.7123
34.292,4.7277
34.304,4.7184
34.313,4.7339
34.324,4.7246
34.333,4.7401
34.343,4.7308
34.353,4.7463
34.363,4.7370
34.388,4.7525
34.392,4.7432
34.392,4.7587
34.404,4.7495
34.412,4.7650
34.423,4.7557
34.432,4.7713
34.444,4.7620
34.452,4.7775
