halt,clearance_m,speed_mps,d_safe_m,held_s,latency_ms,recoveries_during,allowance_entry_s,allowance_exit_s
1,0.9155,0.6000,0.9750,0.400,9.00,0,1000000.0,1000000.0
2,0.6623,0.4028,0.6042,0.299,8.00,0,1000000.0,1000000.0
3,0.4877,0.3576,0.5398,7.601,5.00,0,1000000.0,1000000.0
4,0.3731,0.2244,0.3944,56.693,6.00,0,1000000.0,1000000.0
