robot,status,dispatched_s,finished_s,duration_s,driven_m,final_error_m,replans,goal_x,goal_y
amr1,SUCCEEDED,27.3,45.877,18.577,10.511,0.015923194903542992,0,-0.500,-1.500
amr2,SUCCEEDED,27.3,38.58,11.279999999999998,10.682,0.1819802378463282,0,-0.500,1.500
