t,separation_m
30.804,3.2464
30.820,3.2541
30.822,3.2495
30.841,3.2572
30.842,3.2526
30.860,3.2604
30.861,3.2557
30.880,3.2635
30.881,3.2588
30.901,3.2667
30.901,3.2619
30.920,3.2698
30.921,3.2651
30.940,3.2730
30.942,3.2683
30.960,3.2762
30.961,3.2714
30.980,3.2795
30.983,3.2746
31.001,3.2827
31.001,3.2778
31.021,3.2860
31.021,3.2811
31.042,3.2892
31.070,3.2843
31.070,3.2925
31.070,3.2876
31.091,3.2958
31.091,3.2909
31.100,3.2991
31.102,3.2942
31.121,3.3025
31.121,3.2975
31.142,3.2925
31.143,3.3008
31.160,3.3092
31.161,3.3042
31.180,3.3126
31.181,3.3075
31.200,3.3160
31.200,3.3109
31.220,3.3194
31.221,3.3143
31.241,3.3228
31.242,3.3177
31.261,3.3263
31.264,3.3211
31.281,3.3298
31.283,3.3246
31.300,3.3332
31.302,3.3280
31.320,3.3367
31.321,3.3315
31.340,3.3402
31.342,3.3350
31.361,3.3438
31.361,3.3385
31.381,3.3473
31.381,3.3420
31.400,3.3509
31.402,3.3455
31.421,3.3544
31.421,3.3491
31.440,3.3580
31.441,3.3527
31.460,3.3616
31.461,3.3562
31.480,3.3653
31.481,3.3598
31.500,3.3689
31.501,3.3634
31.520,3.3725
31.521,3.3671
31.540,3.3762
31.541,3.3707
31.560,3.3799
31.561,3.3744
31.581,3.3836
31.581,3.3780
31.600,3.3873
31.601,3.3817
31.620,3.3910
31.621,3.3854
31.640,3.3948
31.641,3.3892
31.661,3.3985
31.667,3.3929
31.681,3.4023
31.683,3.3966
31.703,3.4061
31.704,3.4004
31.723,3.4099
31.724,3.4042
31.741,3.4137
31.741,3.4080
31.760,3.4175
31.761,3.4118
31.780,3.4213
31.782,3.4156
31.802,3.4252
31.803,3.4194
31.822,3.4291
31.822,3.4233
31.859,3.4330
31.878,3.4271
31.878,3.4369
31.880,3.4310
31.881,3.4408
31.883,3.4349
31.900,3.4447
31.902,3.4388
31.920,3.4486
31.921,3.4427
31.941,3.4526
31.943,3.4467
31.961,3.4566
31.961,3.4506
31.981,3.4605
31.982,3.4546
32.000,3.4645
32.002,3.4586
32.020,3.4686
32.021,3.4625
32.040,3.4726
32.042,3.4666
32.060,3.4766
32.060,3.4706
32.082,3.4807
32.083,3.4746
32.101,3.4847
32.101,3.4786
32.120,3.4888
32.121,3.4827
32.140,3.4929
32.142,3.4868
32.160,3.4970
32.162,3.4909
32.180,3.5011
32.181,3.4950
32.200,3.5053
32.200,3.4991
32.220,3.5094
32.221,3.5032
32.240,3.5136
32.241,3.5074
32.263,3.5178
32.263,3.5115
32.280,3.5220
32.282,3.5157
32.300,3.5262
32.301,3.5199
32.321,3.5304
32.321,3.5241
32.342,3.5346
32.343,3.5283
32.360,3.5389
32.362,3.5326
32.381,3.5432
32.382,3.5368
32.400,3.5475
32.401,3.5411
32.420,3.5518
32.421,3.5454
32.440,3.5561
32.441,3.5497
32.460,3.5604
32.462,3.5540
