azimuth_rad,raw_range,validated_range,gate_range
-0.008751,inf,inf,nan
0.008751,inf,inf,nan
0.026253,inf,inf,nan
0.043755,inf,inf,nan
0.061257,inf,inf,nan
0.078759,inf,inf,nan
0.096260,inf,inf,nan
0.113762,inf,inf,nan
0.131264,inf,inf,nan
0.148766,inf,inf,nan
0.166268,inf,inf,nan
0.183770,inf,inf,nan
0.201272,inf,inf,nan
0.218774,inf,inf,nan
0.236276,inf,inf,nan
0.253778,inf,inf,nan
0.271280,inf,inf,nan
0.288781,inf,inf,nan
0.306283,inf,inf,nan
0.323785,inf,inf,nan
0.341287,inf,inf,nan
0.358789,inf,inf,nan
0.376291,inf,inf,nan
0.393793,inf,inf,nan
0.411295,inf,inf,nan
0.428797,inf,inf,nan
0.446299,inf,inf,nan
0.463801,inf,inf,nan
0.481302,inf,inf,nan
0.498804,inf,inf,nan
0.516306,inf,inf,nan
0.533808,inf,inf,nan
0.551310,inf,inf,nan
0.568812,inf,inf,nan
0.586314,inf,inf,nan
0.603816,inf,inf,nan
0.621318,inf,inf,nan
0.638820,inf,inf,nan
0.656322,inf,inf,nan
0.673823,inf,inf,nan
0.691325,inf,inf,nan
0.708827,inf,inf,nan
0.726329,inf,inf,nan
0.743831,inf,inf,nan
0.761333,inf,inf,nan
0.778835,inf,inf,nan
0.796337,inf,inf,nan
0.813839,inf,inf,nan
0.831341,inf,inf,nan
0.848843,inf,inf,nan
0.866344,inf,inf,nan
0.883846,inf,inf,nan
0.901348,inf,inf,nan
0.918850,inf,inf,nan
0.936352,inf,inf,nan
0.953854,inf,inf,nan
0.971356,inf,inf,nan
0.988858,inf,inf,nan
1.006360,inf,inf,nan
1.023862,inf,inf,nan
1.041364,inf,inf,nan
1.058865,inf,inf,nan
1.076367,inf,inf,nan
1.093869,inf,inf,nan
1.111371,inf,inf,nan
1.128873,inf,inf,nan
1.146375,inf,inf,nan
1.163877,inf,inf,nan
1.181379,inf,inf,nan
1.198881,inf,inf,nan
1.216383,inf,inf,nan
1.233885,inf,inf,nan
1.251386,inf,inf,nan
1.268888,inf,inf,nan
1.286390,inf,inf,nan
1.303892,inf,inf,nan
1.321394,2.8403,2.8403,nan
1.338896,2.8362,2.8362,nan
1.356398,2.8002,2.8002,nan
1.373900,2.8095,2.8095,nan
1.391402,2.7916,2.7916,nan
1.408904,2.7916,2.7916,nan
1.426406,2.7596,2.7596,nan
1.443907,2.7630,2.7630,nan
1.461409,2.7789,2.7789,nan
1.478911,2.7639,2.7639,nan
1.496413,2.7497,2.7497,nan
1.513915,2.7658,2.7658,nan
1.531417,2.7475,2.7475,nan
1.548919,2.7526,2.7526,nan
1.566421,2.7422,2.7422,nan
1.583923,2.7550,2.7550,172.3938
1.601425,2.7555,2.7555,73.8925
1.618927,2.7530,2.7530,47.0333
1.636428,2.7666,2.7666,34.5026
1.653930,2.7428,2.7428,27.2507
1.671432,2.7742,2.7742,22.5235
1.688934,2.7701,2.7701,19.1990
1.706436,2.7779,2.7779,16.7341
1.723938,2.7850,2.7850,14.8341
1.741440,2.7783,2.7783,13.3253
1.758942,2.7973,2.7973,12.0984
1.776444,2.8149,2.8149,11.0815
1.793946,2.8095,2.8095,10.2252
1.811448,2.8352,2.8352,9.4944
1.828949,2.8212,2.8212,8.8637
1.846451,2.8628,2.8628,8.3139
1.863953,2.8758,2.8758,7.8306
1.881455,2.8841,2.8841,7.4025
1.898957,2.8991,2.8991,7.0209
1.916459,2.9214,2.9214,6.6786
1.933961,2.9528,2.9528,6.3700
1.951463,2.9547,2.9547,6.0905
1.968965,2.9875,2.9875,5.8361
1.986467,3.0108,3.0108,5.6038
2.003969,3.0269,3.0269,5.3909
2.021470,3.0471,3.0471,5.1951
2.038972,3.0936,3.0936,5.0145
2.056474,3.1009,3.1009,4.8475
2.073976,3.1648,3.1648,4.6926
2.091478,3.1665,3.1665,4.5487
2.108980,3.2043,3.2043,4.4147
2.126482,5.1465,inf,4.2896
2.143984,4.9878,inf,4.1726
2.161486,4.9258,inf,4.0631
2.178988,4.7961,inf,3.9603
2.196490,4.6895,inf,3.8638
2.213992,4.6180,inf,3.7730
2.231493,4.5136,inf,3.6874
2.248995,4.4081,inf,3.6068
2.266497,4.3202,inf,3.5306
2.283999,4.2390,inf,3.4586
2.301501,4.1760,inf,3.3906
2.319003,4.1025,inf,3.3261
2.336505,4.0364,inf,3.2651
2.354007,3.9763,inf,3.2072
2.371509,3.9077,inf,3.1523
2.389011,3.8137,inf,3.1001
2.406513,3.7600,inf,3.0506
2.424014,3.7260,inf,3.0035
2.441516,3.6599,inf,2.9588
2.459018,3.6261,inf,2.9162
2.476520,3.5691,inf,2.8758
2.494022,3.5144,inf,2.8372
2.511524,3.4608,inf,2.8006
2.529026,3.4128,inf,2.7657
2.546528,3.3893,inf,2.7325
2.564030,3.3331,inf,2.7010
2.581532,3.3274,inf,2.6709
2.599034,3.2335,inf,2.6423
2.616535,3.2427,inf,2.6151
2.634037,3.1983,inf,2.5893
2.651539,3.1904,inf,2.5647
2.669041,3.1346,inf,2.5414
2.686543,3.1265,inf,2.5192
2.704045,3.0716,inf,2.4982
2.721547,3.0634,inf,2.4783
2.739049,3.0446,inf,2.4594
2.756551,3.0290,inf,2.4416
2.774053,2.9815,inf,2.4248
2.791555,2.9787,inf,2.4089
2.809056,2.9900,inf,2.3940
2.826558,2.9265,inf,2.3800
2.844060,2.9321,inf,2.3668
2.861562,2.9271,inf,2.3546
2.879064,2.9063,inf,2.3431
2.896566,2.8794,inf,2.3325
2.914068,2.8653,inf,2.3227
2.931570,2.8556,inf,2.3137
2.949072,2.8538,inf,2.3054
2.966574,2.8487,inf,2.2980
2.984076,2.8572,inf,2.2912
3.001577,2.8412,inf,2.2852
3.019079,2.8207,inf,2.2799
3.036581,2.8265,inf,2.2754
3.054083,2.8121,inf,2.2715
3.071585,2.8190,inf,2.2684
3.089087,2.8208,inf,2.2660
3.106589,2.7837,inf,2.2642
3.124091,2.8034,inf,2.2632
3.141593,2.7857,inf,2.2629
