t,separation_m
33.149,1.6214
33.165,1.6276
33.168,1.6162
33.185,1.6225
33.189,1.6111
33.206,1.6176
33.209,1.6061
33.226,1.6128
33.228,1.6013
33.245,1.6081
33.249,1.5966
33.265,1.6036
33.268,1.5920
33.285,1.5992
33.288,1.5876
33.305,1.5950
33.309,1.5834
33.326,1.5909
33.328,1.5792
33.345,1.5870
33.349,1.5753
33.366,1.5832
33.368,1.5714
33.385,1.5795
33.388,1.5678
33.405,1.5760
33.408,1.5643
33.426,1.5727
33.429,1.5609
33.446,1.5695
33.448,1.5577
33.466,1.5665
33.468,1.5546
33.485,1.5636
33.489,1.5517
33.505,1.5609
33.507,1.5490
33.525,1.5584
33.528,1.5465
33.546,1.5560
33.549,1.5441
33.566,1.5538
33.569,1.5418
33.585,1.5517
33.589,1.5398
33.606,1.5498
33.608,1.5379
33.625,1.5481
33.628,1.5362
33.645,1.5466
33.649,1.5346
33.665,1.5452
33.668,1.5333
33.685,1.5440
33.688,1.5321
33.705,1.5430
33.708,1.5310
33.726,1.5422
33.727,1.5302
33.746,1.5415
33.749,1.5295
33.765,1.5410
33.768,1.5290
33.785,1.5407
33.794,1.5287
33.805,1.5405
33.810,1.5285
33.826,1.5405
33.828,1.5286
33.845,1.5407
33.849,1.5288
33.867,1.5411
33.870,1.5291
33.886,1.5417
33.888,1.5297
33.907,1.5425
33.909,1.5305
33.925,1.5435
33.928,1.5315
33.946,1.5447
33.948,1.5327
33.965,1.5460
33.968,1.5341
33.985,1.5476
33.988,1.5357
34.006,1.5493
34.009,1.5374
34.025,1.5513
34.028,1.5394
34.045,1.5534
34.048,1.5415
34.065,1.5557
34.083,1.5438
34.085,1.5581
34.088,1.5463
34.105,1.5608
34.108,1.5490
34.126,1.5636
34.129,1.5518
34.145,1.5666
34.148,1.5549
34.166,1.5698
34.168,1.5581
34.186,1.5732
34.188,1.5615
34.205,1.5767
34.209,1.5650
34.225,1.5804
34.229,1.5687
34.245,1.5843
34.249,1.5726
34.265,1.5883
34.268,1.5767
34.286,1.5925
34.288,1.5808
34.306,1.5968
34.309,1.5851
34.326,1.6012
34.328,1.5895
34.346,1.6057
34.348,1.5941
34.366,1.6104
34.368,1.5987
34.385,1.6151
34.389,1.6035
34.405,1.6200
34.409,1.6084
34.426,1.6250
34.429,1.6134
34.445,1.6302
34.448,1.6186
34.465,1.6354
34.469,1.6239
34.486,1.6408
34.488,1.6293
