t,separation_m
32.970,1.6648
32.981,1.6728
32.990,1.6611
33.001,1.6692
33.011,1.6575
33.021,1.6657
33.031,1.6540
33.042,1.6623
33.050,1.6506
33.062,1.6590
33.070,1.6473
33.081,1.6559
33.090,1.6441
33.101,1.6528
33.111,1.6410
33.122,1.6499
33.131,1.6381
33.142,1.6471
33.150,1.6353
33.161,1.6445
33.171,1.6326
33.182,1.6420
33.190,1.6301
33.202,1.6396
33.211,1.6276
33.221,1.6373
33.230,1.6254
33.241,1.6352
33.250,1.6232
33.261,1.6332
33.270,1.6213
33.282,1.6314
33.290,1.6194
33.311,1.6297
33.311,1.6177
33.321,1.6281
33.341,1.6162
33.342,1.6268
33.350,1.6148
33.361,1.6255
33.370,1.6135
33.381,1.6245
33.390,1.6125
33.401,1.6236
33.410,1.6116
33.421,1.6229
33.430,1.6109
33.441,1.6224
33.450,1.6104
33.461,1.6222
33.470,1.6102
33.481,1.6221
33.491,1.6101
33.502,1.6223
33.509,1.6103
33.522,1.6226
33.530,1.6107
33.542,1.6233
33.550,1.6113
33.561,1.6242
33.570,1.6122
33.582,1.6254
33.590,1.6134
33.602,1.6268
33.610,1.6149
33.621,1.6285
33.631,1.6166
33.641,1.6305
33.650,1.6185
33.661,1.6327
33.670,1.6208
33.681,1.6352
33.691,1.6233
33.701,1.6378
33.711,1.6259
33.721,1.6407
33.730,1.6288
33.741,1.6438
33.750,1.6319
33.761,1.6471
33.770,1.6352
33.781,1.6505
33.790,1.6387
33.802,1.6541
33.810,1.6423
33.822,1.6579
33.831,1.6462
33.842,1.6619
33.850,1.6502
33.861,1.6661
33.871,1.6543
33.881,1.6704
33.890,1.6586
33.902,1.6748
33.911,1.6631
33.921,1.6794
33.931,1.6677
33.942,1.6841
33.951,1.6725
33.961,1.6890
33.970,1.6774
33.982,1.6941
33.990,1.6825
34.002,1.6992
34.011,1.6877
34.021,1.7045
34.030,1.6930
34.041,1.7099
34.052,1.6984
34.061,1.7154
34.070,1.7039
34.082,1.7211
34.090,1.7096
34.102,1.7268
34.110,1.7154
34.122,1.7327
34.131,1.7213
34.141,1.7387
34.150,1.7273
34.161,1.7448
34.171,1.7334
34.181,1.7509
34.191,1.7397
34.201,1.7572
34.211,1.7460
34.222,1.7636
34.231,1.7524
34.242,1.7701
34.251,1.7589
34.261,1.7767
34.270,1.7655
34.283,1.7834
34.291,1.7723
34.302,1.7901
34.311,1.7791
34.322,1.7970
34.337,1.7860
34.341,1.8040
34.350,1.7929
34.361,1.8110
34.371,1.8000
34.382,1.8182
34.391,1.8075
34.403,1.8256
34.411,1.8152
34.421,1.8335
34.430,1.8234
34.441,1.8416
34.450,1.8318
34.464,1.8501
34.470,1.8406
34.481,1.8588
34.490,1.8497
34.502,1.8679
34.510,1.8591
34.522,1.8773
34.531,1.8688
34.541,1.8871
34.550,1.8787
34.562,1.8971
34.571,1.8890
34.581,1.9074
34.591,1.8996
34.602,1.9180
34.611,1.9105
34.621,1.9289
34.630,1.9217
34.641,1.9401
34.651,1.9332
34.661,1.9517
34.670,1.9450
34.682,1.9635
34.690,1.9571
34.702,1.9755
34.711,1.9694
34.722,1.9879
34.730,1.9821
34.741,2.0006
34.751,1.9951
34.762,2.0136
34.770,2.0083
34.781,2.0269
34.790,2.0218
34.802,2.0404
34.810,2.0357
34.821,2.0543
34.830,2.0498
34.841,2.0684
34.850,2.0642
34.861,2.0828
34.870,2.0789
34.881,2.0975
34.890,2.0939
34.902,2.1125
34.910,2.1092
34.921,2.1278
34.930,2.1247
34.941,2.1434
34.950,2.1406
34.961,2.1593
34.970,2.1568
34.981,2.1755
34.990,2.1733
35.001,2.1920
35.011,2.1900
35.022,2.2088
35.030,2.2071
35.043,2.2259
35.050,2.2245
35.062,2.2433
35.070,2.2422
35.083,2.2611
35.090,2.2602
35.101,2.2791
35.111,2.2785
35.121,2.2974
35.130,2.2971
35.142,2.3160
35.150,2.3158
35.162,2.3347
35.170,2.3346
35.182,2.3535
35.190,2.3534
35.202,2.3724
35.211,2.3724
35.222,2.3914
35.230,2.3914
35.241,2.4104
35.250,2.4104
35.262,2.4294
35.270,2.4294
35.281,2.4485
35.290,2.4485
35.301,2.4675
35.311,2.4675
35.321,2.4866
35.360,2.4866
35.360,2.5057
35.360,2.5057
35.361,2.5248
35.370,2.5248
35.382,2.5439
35.390,2.5439
35.401,2.5631
35.410,2.5629
35.422,2.5821
35.431,2.5818
35.441,2.6010
35.451,2.6006
35.462,2.6198
35.470,2.6192
35.482,2.6385
35.491,2.6378
35.501,2.6571
35.510,2.6562
35.521,2.6755
35.530,2.6745
35.541,2.6938
35.550,2.6926
35.562,2.7120
35.570,2.7107
35.582,2.7301
35.590,2.7286
35.601,2.7480
35.611,2.7464
35.621,2.7659
35.630,2.7642
35.642,2.7836
35.650,2.7818
35.661,2.8013
35.670,2.7994
35.681,2.8189
35.690,2.8169
35.702,2.8364
35.710,2.8344
35.721,2.8539
35.730,2.8517
35.741,2.8712
35.750,2.8688
35.761,2.8884
35.770,2.8858
35.781,2.9054
35.790,2.9026
35.801,2.9222
35.810,2.9193
35.822,2.9389
35.830,2.9359
35.842,2.9555
35.850,2.9523
35.862,2.9719
35.870,2.9685
35.881,2.9882
35.890,2.9847
35.901,3.0043
35.910,3.0007
35.921,3.0203
35.930,3.0165
35.941,3.0362
35.950,3.0323
35.962,3.0519
35.970,3.0479
35.981,3.0675
35.991,3.0634
36.001,3.0830
36.010,3.0787
36.021,3.0984
36.031,3.0939
36.041,3.1136
36.050,3.1090
36.062,3.1288
36.070,3.1240
36.082,3.1437
36.090,3.1389
36.101,3.1586
36.110,3.1536
36.121,3.1733
36.130,3.1681
36.141,3.1879
36.150,3.1826
36.162,3.2023
36.170,3.1969
36.181,3.2167
36.190,3.2111
36.201,3.2309
36.210,3.2252
36.221,3.2450
36.230,3.2392
36.241,3.2589
36.250,3.2530
36.262,3.2728
36.270,3.2667
36.282,3.2865
36.290,3.2803
36.303,3.3000
36.310,3.2937
36.322,3.3135
36.334,3.3070
36.341,3.3268
36.350,3.3202
36.362,3.3400
36.371,3.3333
36.381,3.3531
36.390,3.3463
36.401,3.3661
36.410,3.3592
36.421,3.3790
36.430,3.3719
36.441,3.3917
36.450,3.3845
36.462,3.4043
36.471,3.3970
36.481,3.4168
36.491,3.4093
36.501,3.4292
36.510,3.4215
36.522,3.4414
36.530,3.4336
36.542,3.4534
36.550,3.4455
36.563,3.4654
36.570,3.4573
36.582,3.4772
36.590,3.4690
36.601,3.4888
36.610,3.4805
36.621,3.5003
36.630,3.4919
36.641,3.5118
36.650,3.5032
36.661,3.5230
36.670,3.5143
36.681,3.5342
36.691,3.5253
36.701,3.5452
36.711,3.5362
36.721,3.5560
36.730,3.5469
36.741,3.5668
36.751,3.5575
36.762,3.5774
36.770,3.5680
36.781,3.5878
36.790,3.5782
36.802,3.5981
36.811,3.5884
36.821,3.6082
36.830,3.5983
36.842,3.6181
36.850,3.6081
36.861,3.6279
36.871,3.6177
36.882,3.6375
36.891,3.6272
36.901,3.6470
36.911,3.6364
36.921,3.6562
36.930,3.6456
36.941,3.6654
36.950,3.6548
36.963,3.6746
36.970,3.6639
36.981,3.6837
36.990,3.6730
37.001,3.6928
37.012,3.6821
37.021,3.7018
37.031,3.6911
37.041,3.7109
37.051,3.7001
