x,y
-4.7637,0.2777
-4.7396,0.2844
-4.7155,0.2911
-4.6914,0.2978
-4.6673,0.3045
-4.6433,0.3112
-4.6192,0.3179
-4.5951,0.3246
-4.5710,0.3313
-4.5469,0.3380
-4.5228,0.3447
-4.4988,0.3514
-4.4747,0.3581
-4.4506,0.3648
-4.4265,0.3716
-4.4024,0.3783
-4.3783,0.3850
-4.3543,0.3917
-4.3302,0.3984
-4.3061,0.4052
-4.2820,0.4119
-4.2580,0.4186
-4.2339,0.4254
-4.2098,0.4321
-4.1857,0.4388
-4.1617,0.4456
-4.1376,0.4523
-4.1135,0.4590
-4.0894,0.4658
-4.0654,0.4725
-4.0413,0.4793
-4.0172,0.4860
-3.9931,0.4928
-3.9691,0.4995
-3.9450,0.5062
-3.9209,0.5130
-3.8968,0.5198
-3.8728,0.5265
-3.8487,0.5333
-3.8246,0.5400
-3.8006,0.5468
-3.7765,0.5535
-3.7524,0.5603
-3.7284,0.5671
-3.7043,0.5738
-3.6802,0.5806
-3.6562,0.5874
-3.6321,0.5941
-3.6080,0.6009
-3.5840,0.6077
-3.5599,0.6145
-3.5358,0.6212
-3.5118,0.6280
-3.4877,0.6348
-3.4637,0.6416
-3.4396,0.6484
-3.4155,0.6551
-3.3915,0.6619
-3.3674,0.6687
-3.3433,0.6755
-3.3193,0.6823
-3.2952,0.6891
-3.2712,0.6959
-3.2471,0.7027
-3.2230,0.7095
-3.1990,0.7163
-3.1749,0.7231
-3.1509,0.7299
-3.1268,0.7367
-3.1028,0.7435
-3.0787,0.7503
-3.0546,0.7571
-3.0306,0.7639
-3.0065,0.7707
-2.9825,0.7775
-2.9584,0.7843
-2.9344,0.7911
-2.9103,0.7979
-2.8863,0.8048
-2.8622,0.8116
-2.8382,0.8184
-2.8141,0.8252
-2.7901,0.8320
-2.7660,0.8389
-2.7420,0.8457
-2.7179,0.8525
-2.6939,0.8593
-2.6698,0.8662
-2.6458,0.8730
-2.6217,0.8798
-2.5977,0.8866
-2.5736,0.8935
-2.5496,0.9003
-2.5255,0.9072
-2.5015,0.9140
-2.4774,0.9208
-2.4534,0.9277
-2.4293,0.9345
-2.4053,0.9413
-2.3812,0.9482
-2.3572,0.9550
-2.3332,0.9619
-2.3091,0.9687
-2.2851,0.9756
-2.2610,0.9824
-2.2370,0.9893
-2.2129,0.9961
-2.1889,1.0030
-2.1648,1.0098
-2.1408,1.0167
-2.1168,1.0235
-2.0927,1.0304
-2.0687,1.0373
-2.0446,1.0441
-2.0206,1.0510
-1.9966,1.0578
-1.9725,1.0647
-1.9485,1.0716
-1.9244,1.0784
-1.9004,1.0853
-1.8764,1.0922
-1.8523,1.0990
-1.8283,1.1059
-1.8043,1.1128
-1.7802,1.1196
-1.7562,1.1265
-1.7321,1.1334
-1.7081,1.1403
-1.6841,1.1471
-1.6600,1.1540
-1.6360,1.1609
-1.6120,1.1678
-1.5879,1.1747
-1.5639,1.1815
-1.5399,1.1884
-1.5158,1.1953
-1.4918,1.2022
-1.4678,1.2091
-1.4437,1.2160
-1.4197,1.2229
-1.3957,1.2298
-1.3716,1.2366
-1.3476,1.2435
-1.3236,1.2504
-1.2996,1.2573
-1.2755,1.2642
-1.2515,1.2711
-1.2275,1.2780
-1.2034,1.2849
-1.1794,1.2918
-1.1554,1.2987
-1.1313,1.3056
-1.1073,1.3125
-1.0833,1.3194
-1.0593,1.3263
-1.0352,1.3332
-1.0112,1.3401
-0.9872,1.3471
-0.9632,1.3540
-0.9391,1.3609
-0.9151,1.3678
-0.8911,1.3747
-0.8671,1.3816
-0.8430,1.3885
-0.8190,1.3954
-0.7950,1.4024
-0.7710,1.4093
-0.7469,1.4162
-0.7229,1.4231
-0.6989,1.4300
-0.6749,1.4370
-0.6508,1.4439
-0.6268,1.4508
-0.6028,1.4577
-0.5788,1.4646
-0.5547,1.4716
-0.5000,1.5000
