t,separation_m
8.719,3.1456
8.725,3.1492
8.737,3.1492
8.747,3.1529
8.759,3.1529
8.762,3.1566
8.767,3.1566
8.789,3.1603
8.789,3.1603
8.789,3.1641
8.793,3.1641
8.803,3.1679
8.840,3.1679
8.847,3.1718
8.859,3.1717
8.867,3.1756
8.880,3.1755
8.886,3.1795
8.900,3.1795
8.907,3.1834
9.029,3.1834
9.029,3.1874
9.029,3.1872
9.029,3.1913
9.035,3.1910
9.035,3.1951
9.037,3.1948
9.044,3.1990
9.046,3.1989
9.049,3.2031
9.053,3.2031
9.053,3.2073
9.058,3.2073
9.058,3.2115
9.064,3.2115
9.066,3.2158
9.080,3.2158
9.087,3.2201
9.095,3.2201
9.101,3.2245
9.153,3.2245
9.155,3.2289
9.155,3.2289
9.158,3.2333
9.160,3.2333
9.166,3.2378
9.168,3.2378
9.175,3.2423
9.178,3.2423
9.182,3.2469
9.182,3.2469
9.182,3.2515
9.186,3.2515
9.186,3.2561
9.192,3.2607
9.194,3.2607
9.202,3.2607
9.205,3.2654
9.229,3.2654
9.230,3.2702
9.239,3.2702
9.241,3.2750
9.256,3.2749
9.264,3.2798
9.364,3.2798
9.366,3.2846
9.370,3.2846
9.370,3.2895
9.373,3.2895
9.374,3.2944
9.376,3.2944
9.376,3.2994
9.401,3.2994
9.424,3.3043
9.459,3.3043
9.488,3.3094
9.488,3.3094
9.489,3.3144
9.494,3.3144
9.507,3.3195
9.520,3.3195
9.530,3.3247
9.541,3.3247
9.546,3.3298
9.558,3.3298
9.568,3.3350
9.579,3.3350
9.587,3.3403
9.672,3.3403
9.672,3.3456
9.679,3.3456
9.679,3.3509
9.679,3.3508
9.687,3.3562
9.687,3.3561
9.687,3.3615
9.687,3.3615
9.694,3.3669
9.694,3.3669
9.694,3.3724
9.734,3.3724
9.734,3.3779
9.740,3.3779
9.747,3.3834
9.758,3.3833
9.766,3.3889
9.778,3.3888
9.802,3.3944
9.802,3.3944
9.808,3.4001
9.818,3.4000
9.823,3.4057
9.838,3.4057
9.841,3.4114
9.856,3.4114
9.862,3.4171
9.870,3.4171
9.872,3.4229
9.896,3.4229
9.908,3.4286
9.920,3.4286
9.929,3.4344
9.930,3.4342
9.930,3.4400
9.962,3.4396
9.986,3.4455
9.986,3.4450
9.987,3.4509
10.000,3.4507
10.007,3.4566
10.020,3.4566
10.026,3.4626
10.040,3.4626
10.047,3.4686
10.059,3.4686
10.062,3.4746
10.069,3.4746
10.072,3.4806
10.074,3.4806
10.074,3.4867
10.080,3.4867
10.080,3.4929
10.084,3.4929
10.088,3.4990
10.098,3.4990
10.185,3.5052
10.187,3.5052
10.187,3.5114
10.188,3.5114
10.192,3.5177
10.192,3.5176
10.197,3.5239
10.197,3.5239
10.201,3.5302
10.202,3.5302
10.202,3.5365
10.202,3.5365
10.203,3.5429
10.203,3.5429
10.203,3.5493
10.203,3.5493
10.206,3.5557
10.206,3.5556
10.208,3.5621
10.209,3.5621
10.212,3.5686
10.215,3.5686
10.215,3.5751
10.215,3.5751
10.215,3.5816
10.215,3.5816
10.218,3.5882
10.218,3.5882
10.226,3.5948
10.240,3.5948
10.249,3.6014
10.298,3.6014
10.298,3.6081
10.299,3.6081
10.314,3.6148
10.343,3.6148
10.357,3.6215
10.538,3.6215
10.546,3.6282
10.558,3.6281
