robot,status,dispatched_s,finished_s,duration_s,driven_m,final_error_m,replans,goal_x,goal_y
amr1,SUCCEEDED,30.272,70.319,40.047000000000004,12.721,0.03168744684400977,3,-1.000,-1.500
amr2,SUCCEEDED,35.3,78.163,42.863,13.624,0.15120517177989992,3,-1.000,1.500
